x,miding,miyi,mishi,maiding,maiyi,maishi,yuding,yuyi,yushi
1985,0.35,0.36,0.629,0.43,0.43,0.496,0.31,0.33,0.366
1986,0.36,0.44,0.768,0.44,0.51,0.59,0.31,0.4,0.442
1987,0.38,0.51,0.891,0.44,0.55,0.637,0.33,0.44,0.487
1988,0.4,0.61,1.145,0.47,0.63,0.782,0.34,0.47,0.548
1989,0.48,0.87,1.691,0.51,0.89,1.18,0.37,0.64,0.782
1990,0.51,0.82,1.337,0.51,0.85,1.049,0.38,0.63,0.729
1991,0.51,0.73,1.137,0.51,0.77,0.859,0.38,0.55,0.618
1992,0.55,0.65,1.1,0.59,0.73,0.88,0.42,0.55,0.665
1993,0.62,0.74,1.251,0.66,0.75,0.865,0.46,0.64,0.752
1994,0.89,1.14,2.078,0.89,1.04,1.152,0.69,0.9,1.056
1995,1.09,1.72,3.005,1.08,1.53,1.744,0.86,1.38,1.612
1996,1.33,1.71,3.016,1.31,1.65,1.756,1.06,1.39,1.491
1997,1.48,1.45,2.364,1.46,1.43,1.441,1.23,1.1,1.49
1998,1.46,1.34,2.175,1.44,1.3,1.298,1.23,1.17,1.579
